,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
AC016831.7,0.25866657,0.3059712,0.2703543,-6e-45,0.31436068,-1.3e-44,0.2667734,0.27510124,0.30072075,0.26143384,0.3059048,-1.7e-44,-1.4e-44,0.31041756,2.1865505e-07,0.3059384
AC017002.1,0.04671537,0.29548717,0.047935903,-4e-45,0.30278146,-8e-45,0.04837484,0.05002462,0.29115516,0.04683975,0.29517588,-8e-45,-1e-44,0.29943004,1.3816633e-07,0.2967235
AC018766.4,-0.00029535053,0.36426765,-0.00032813934,-3e-45,0.37335354,-1e-44,-0.0003089462,-0.0003062862,0.35882407,-0.0003006528,0.36411005,-1e-44,-1.1e-44,0.3691792,1.6655525e-07,0.36585218
AC020571.3,0.06381069,0.30740967,0.06576352,-4e-45,0.31512618,-1e-44,0.0658834,0.06822711,0.3027835,0.06419331,0.3071553,-1e-44,-1.1e-44,0.31156895,1.5275832e-07,0.30852717
AC022182.1,-0.00017694577,0.39610785,-0.0002070546,-4e-45,0.4061966,-1.1e-44,-0.00018997416,-0.00017917751,0.38999164,-0.00017949894,0.3960684,-1.1e-44,-1.4e-44,0.40154278,1.9467437e-07,0.39757448
AC023590.1,0.25740442,0.29124606,0.2691782,-6e-45,0.29918724,-1.3e-44,0.26561457,0.27369645,0.28629252,0.26009607,0.29112932,-1.5e-44,-1.4e-44,0.29545707,2.0683548e-07,0.2912428
AC025171.1,0.07616775,0.36725375,0.078131184,-4e-45,0.37681854,-1.3e-44,0.07804365,0.08160994,0.36139667,0.07694622,0.36721116,-1.3e-44,-1.4e-44,0.37238103,2.0340019e-07,0.36820844
AC027601.1,0.016831025,0.3636645,0.01587072,-4e-45,0.37290275,-1.1e-44,0.016908243,0.018595882,0.35807747,0.016866982,0.3635509,-1.1e-44,-1.3e-44,0.36864015,1.8125486e-07,0.36497545
AC069277.2,-0.00010423452,0.3338852,-0.00012441844,-3e-45,0.3421262,-1e-44,-0.00010900005,-0.0001047121,0.32898143,-0.00010843187,0.33364546,-8e-45,-1.1e-44,0.33834577,1.4786104e-07,0.33540195
AC069363.1,0.0054509193,0.30522212,0.00451456,-3e-45,0.31265765,-8e-45,0.0057419017,0.0062571466,0.30083492,0.00510934,0.30490217,-8e-45,-1e-44,0.3092534,1.3242784e-07,0.30668795
AC073934.6,0.0012236163,0.395733,-8.398145e-06,-4e-45,0.40588015,-1.1e-44,0.00050878525,0.0021662787,0.38956097,0.0011988953,0.39571112,-1.3e-44,-1.4e-44,0.40119225,2.003287e-07,0.39708832
AC074289.1,0.053183757,0.34205183,0.054255933,-4e-45,0.3507729,-1.1e-44,0.054593496,0.0570966,0.33677265,0.053577274,0.34190252,-1.1e-44,-1.3e-44,0.34674326,1.7596352e-07,0.34318027
AC078883.3,0.106894374,0.3191431,0.11087791,-4e-45,0.32737118,-1.1e-44,0.1101852,0.11402089,0.3141391,0.10785329,0.31897023,-1.1e-44,-1.3e-44,0.32355657,1.7755087e-07,0.31998828
AC079305.10,0.0015845075,0.39750123,-4.78819e-06,-4e-45,0.40770292,-1.1e-44,0.00086373836,0.0025572255,0.3912928,0.0015714318,0.39748555,-1.3e-44,-1.4e-44,0.40298903,2.019245e-07,0.39885172
AC079630.4,0.1882116,0.23562475,0.19709703,-4e-45,0.24163595,-8e-45,0.19482204,0.1999889,0.23200846,0.18982726,0.2352541,-1.1e-44,-1e-44,0.23884436,1.3954931e-07,0.23611408
AC079742.4,-0.00022387087,0.4157847,-0.00025831192,-4e-45,0.42644912,-1.3e-44,-0.00024025023,-0.00022813394,0.40929317,-0.00022619724,0.4158064,-1.3e-44,-1.4e-44,0.42152426,2.0765061e-07,0.4172496
AC079767.4,0.25820303,0.2757621,0.27017337,-6e-45,0.28323978,-1.1e-44,0.2665875,0.2744762,0.27111366,0.26084128,0.2755945,-1.5e-44,-1.3e-44,0.27972895,1.9513469e-07,0.2757773
AC083843.1,0.018082872,0.3985101,0.016832486,-4e-45,0.408803,-1.3e-44,0.017862275,0.020077974,0.3922264,0.0182762,0.3985144,-1.3e-44,-1.4e-44,0.40404037,2.0771611e-07,0.3997616
AC084082.3,0.050441854,0.3775555,0.051017925,-4e-45,0.38733608,-1.3e-44,0.05142376,0.054341555,0.3715798,0.05094657,0.37752193,-1.3e-44,-1.4e-44,0.38280526,2.023449e-07,0.378647
AC092535.3,0.015127957,0.3608006,0.014111705,-4e-45,0.36994618,-1.1e-44,0.015180297,0.016775124,0.35527614,0.015131332,0.36067563,-1.1e-44,-1.3e-44,0.36572805,1.7874898e-07,0.3621259
AC092580.4,0.25771284,0.2899104,0.2695156,-6e-45,0.2978125,-1.3e-44,0.2659455,0.27401808,0.28498235,0.26040292,0.28978947,-1.5e-44,-1.4e-44,0.2941007,2.0590875e-07,0.28990728
AC093323.3,0.22805893,0.25156197,0.23877056,-4e-45,0.25819975,-1e-44,0.23574606,0.24236554,0.2474955,0.23022865,0.25128382,-1.3e-44,-1.1e-44,0.25509736,1.6608386e-07,0.25179172
AC093495.4,0.029729098,0.4050479,0.028993525,-4e-45,0.41558057,-1.3e-44,0.029805146,0.032471634,0.39859524,0.030091986,0.4050855,-1.4e-44,-1.4e-44,0.41070035,2.1670172e-07,0.4062207
AC093627.10,0.023176804,0.3131681,0.023044266,-4e-45,0.3209086,-8e-45,0.023938313,0.025111124,0.30856356,0.023084477,0.31289262,-8e-45,-1e-44,0.3173539,1.4354383e-07,0.31451726
